Year,State,Sector,Customers,Price,Revenue,Sales
2017,UT,Commercial,127113,8.65,1014847,11739121
2017,UT,Industrial,9594,6.13,569088,9283036
2017,UT,Residential,1063292,10.95,1041820,9510783
2017,UT,Transportation,1,10.26,5752,56081
2017,VA,Commercial,422256,8.01,4023032,50200525
2017,VA,Industrial,3692,6.51,1117710,17168820
2017,VA,Residential,3398529,11.55,5078889,43982440
2017,VA,Transportation,1,8.11,14431,177947
2017,VT,Commercial,56388,14.61,288831,1976594
2017,VT,Industrial,187,10.21,145424,1423644
2017,VT,Residential,313670,17.68,357641,2023424
2017,VT,Transportation,0,0.0,0,0
2017,WA,Commercial,381028,8.57,2553289,29799505
2017,WA,Industrial,27825,4.6,1143982,24858604
2017,WA,Residential,3037674,9.66,3600615,37282901
2017,WA,Transportation,6,9.18,658,7162
2017,WI,Commercial,351707,10.87,2570834,23641127
2017,WI,Industrial,5666,7.49,1813523,24204631
2017,WI,Residential,2681341,14.35,3045972,21233154
2017,WI,Transportation,1,14.31,28,197
2017,WV,Commercial,143951,9.58,722937,7549430
2017,WV,Industrial,11529,6.64,902668,13586126
2017,WV,Residential,858961,11.63,1229699,10573463
2017,WV,Transportation,0,0.0,0,0
2017,WY,Commercial,57863,9.7,364808,3762086
2017,WY,Industrial,10931,6.92,708573,10243610
2017,WY,Residential,270576,11.37,315284,2772371
2017,WY,Transportation,0,0.0,0,0
2018,AK,Commercial,53957,18.58,491609,2646058
2018,AK,Industrial,1387,17.1,231156,1351503
2018,AK,Residential,287526,21.94,433247,1974906
2018,AK,Transportation,0,0.0,0,0
2018,AL,Commercial,371097,11.24,2639244,23483072
2018,AL,Industrial,7342,6.01,2027558,33717004
2018,AL,Residential,2229472,12.18,4027603,33080380
2018,AL,Transportation,0,0.0,0,0
2018,AR,Commercial,196482,7.75,951473,12278279
2018,AR,Industrial,36596,5.64,1018825,18064787
2018,AR,Residential,1388358,9.81,1888657,19259204
2018,AR,Transportation,2,11.35,50,438
2018,AZ,Commercial,322135,10.64,3158290,29683550
2018,AZ,Industrial,7794,6.55,916272,13994441
2018,AZ,Residential,2808352,12.77,4425192,34660297
2018,AZ,Transportation,2,10.02,803,8014
2018,CA,Commercial,1714875,16.34,18924312,115786492
2018,CA,Industrial,148644,13.2,6546363,49587913
2018,CA,Residential,13591152,18.84,16782222,89099985
2018,CA,Transportation,12,8.64,64821,749882
2018,CO,Commercial,376104,10.02,2105709,21023300
2018,CO,Industrial,15985,7.47,1198532,16047258
2018,CO,Residential,2326976,12.15,2342778,19286952
2018,CO,Transportation,1,9.0,8371,92970
2018,CT,Commercial,153824,16.76,2074987,12381063
2018,CT,Industrial,4308,13.77,441995,3209992
2018,CT,Residential,1503701,21.2,2769111,13061372
2018,CT,Transportation,4,12.84,23296,181498
2018,DC,Commercial,26336,11.97,985752,8236225
2018,DC,Industrial,1,8.3,15982,192662
2018,DC,Residential,274613,12.84,332869,2592242
2018,DC,Transportation,3,9.54,32125,336781
2018,DE,Commercial,54904,9.65,419179,4342340
2018,DE,Industrial,837,7.95,187698,2360585
2018,DE,Residential,432449,12.53,635362,5070175
2018,DE,Transportation,0,0.0,0,0
2018,FL,Commercial,1229559,9.19,8845109,96265276
2018,FL,Industrial,21327,7.65,1276341,16689129
2018,FL,Residential,9423022,11.54,14485280,125528047
2018,FL,Transportation,2,8.26,6854,82939
2018,GA,Commercial,579468,9.79,4633071,47311675
2018,GA,Industrial,23065,6.0,1963178,32695791
2018,GA,Residential,4354021,11.47,6847325,59689106
2018,GA,Transportation,1,5.52,9354,169502
2018,HI,Commercial,59661,29.9,906817,3033009
2018,HI,Industrial,814,26.1,937994,3593454
2018,HI,Residential,436266,32.47,880207,2710698
2018,HI,Transportation,0,0.0,0,0
2018,IA,Commercial,239703,9.68,1202569,12417671
2018,IA,Industrial,7890,6.45,1546011,23952635
2018,IA,Residential,1385756,12.24,1817122,14840349
2018,IA,Transportation,0,0.0,0,0
2018,ID,Commercial,110797,7.93,510534,6436893
2018,ID,Industrial,28418,6.47,575247,8889037
2018,ID,Residential,743567,10.15,855157,8427578
2018,ID,Transportation,0,0.0,0,0
2018,IL,Commercial,616192,9.12,4631432,50762829
2018,IL,Industrial,5717,6.8,2998939,44114711
2018,IL,Residential,5289573,12.77,6028532,47225915
2018,IL,Transportation,3,6.75,37205,551353
2018,IN,Commercial,354730,10.6,2575962,24305199
2018,IN,Industrial,17763,7.38,3343388,45293322
2018,IN,Residential,2863358,12.26,4239862,34574664
2018,IN,Transportation,1,10.44,2213,21191
2018,KS,Commercial,234091,10.66,1723136,16168750
2018,KS,Industrial,24185,7.6,887449,11681037
2018,KS,Residential,1266044,13.35,1894142,14187192
2018,KS,Transportation,0,0.0,0,0
2018,KY,Commercial,305417,9.74,1945913,19980485
2018,KY,Industrial,6750,5.68,1642598,28917429
2018,KY,Residential,1980209,10.6,2936379,27712722
2018,KY,Transportation,0,0.0,0,0
2018,LA,Commercial,292752,8.85,2184935,24690904
2018,LA,Industrial,19558,5.35,2002500,37416715
2018,LA,Residential,2085055,9.59,3074086,32065538
2018,LA,Transportation,1,9.21,1189,12915
2018,MA,Commercial,408972,17.17,4456596,25952481
2018,MA,Industrial,10503,14.89,997600,6699302
2018,MA,Residential,2784243,21.61,4383449,20284674
2018,MA,Transportation,2,6.38,22255,348572
2018,MD,Commercial,254163,10.43,3082523,29547518
2018,MD,Industrial,8801,8.23,318402,3870188
2018,MD,Residential,2332517,13.3,3741620,28138474
2018,MD,Transportation,5,7.44,39440,530275
2018,ME,Commercial,96066,12.51,556411,4447245
2018,ME,Industrial,3064,9.32,282922,3035573
2018,ME,Residential,709848,16.84,820564,4872001
2018,ME,Transportation,0,0.0,0,0
2018,MI,Commercial,543261,11.15,4339291,38925268
2018,MI,Industrial,5972,7.1,2187188,30806023
2018,MI,Residential,4365529,15.45,5426835,35131422
2018,MI,Transportation,2,10.76,730,6783
2018,MN,Commercial,295855,10.38,2429217,23398557
2018,MN,Industrial,9066,7.52,1688832,22446853
2018,MN,Residential,2420325,13.14,3001391,22837140
2018,MN,Transportation,1,9.58,2475,25832
2018,MO,Commercial,384493,9.4,2931288,31179283
2018,MO,Industrial,8085,7.22,966201,13389587
2018,MO,Residential,2792459,11.34,4248638,37463390
2018,MO,Transportation,2,8.52,2008,23575
2018,MS,Commercial,236871,10.43,1515723,14530226
2018,MS,Industrial,10988,6.0,993099,16549315
2018,MS,Residential,1290281,11.12,2146535,19310527
2018,MS,Transportation,0,0.0,0,0
2018,MT,Commercial,108695,10.11,497390,4921231
2018,MT,Industrial,9915,5.19,245120,4719928
2018,MT,Residential,509526,10.96,569768,5197686
2018,MT,Transportation,0,0.0,0,0
2018,NC,Commercial,691673,8.58,4228751,49298402
2018,NC,Industrial,10025,6.33,1732371,27353560
2018,NC,Residential,4550420,11.09,6834735,61622454
2018,NC,Transportation,1,8.02,1042,12988
2018,ND,Commercial,75148,9.1,621753,6835913
2018,ND,Industrial,8985,7.98,694475,8700422
2018,ND,Residential,382596,10.25,526145,5133171
2018,ND,Transportation,0,0.0,0,0
2018,NE,Commercial,153749,8.83,843309,9553396
2018,NE,Industrial,61968,7.6,833976,10974088
2018,NE,Residential,849898,10.7,1114442,10412008
2018,NE,Transportation,0,0.0,0,0
2018,NH,Commercial,107805,15.81,702541,4442560
2018,NH,Industrial,3176,13.42,263361,1962711
2018,NH,Residential,622671,19.69,913613,4641013
2018,NH,Transportation,0,0.0,0,0
2018,NJ,Commercial,521429,12.21,4736982,38807065
2018,NJ,Industrial,11877,10.07,741934,7369106
2018,NJ,Residential,3568044,15.41,4550431,29530689
2018,NJ,Transportation,6,9.07,28094,309902
2018,NM,Commercial,143874,10.02,905498,9035272
2018,NM,Industrial,9360,5.84,478397,8186897
2018,NM,Residential,889841,12.68,865755,6826442
2018,NM,Transportation,0,0.0,0,0
2018,NV,Commercial,164982,7.74,938631,12123896
2018,NV,Industrial,3446,6.1,744443,12198273
2018,NV,Residential,1183660,11.85,1593360,13449743
2018,NV,Transportation,1,8.31,694,8351
2018,NY,Commercial,1106650,14.5,11128003,76745463
2018,NY,Industrial,6884,6.02,1087828,18076792
2018,NY,Residential,7190906,18.52,9658622,52153246
2018,NY,Transportation,8,12.14,358602,2954350
2018,OH,Commercial,630210,10.11,4768817,47191540
2018,OH,Industrial,18715,7.01,3591707,51235995
2018,OH,Residential,4964855,12.56,6839823,54451714
2018,OH,Transportation,2,7.33,2632,35918
2018,OK,Commercial,282875,8.07,1712885,21229143
2018,OK,Industrial,18700,5.34,1027324,19229365
2018,OK,Residential,1764980,10.3,2484031,24116808
2018,OK,Transportation,0,0.0,0,0
2018,OR,Commercial,237942,8.91,1467790,16470027
2018,OR,Industrial,24821,5.86,814163,13899298
2018,OR,Residential,1750240,10.98,2079228,18930583
2018,OR,Transportation,2,9.16,2381,25996
2018,PA,Commercial,716936,8.94,3864304,43221520
2018,PA,Industrial,11743,6.84,3361585,49155499
2018,PA,Residential,5390428,13.89,7764870,55896453
2018,PA,Transportation,6,7.78,54696,703259
2018,RI,Commercial,60128,16.58,613083,3697587
2018,RI,Industrial,1773,15.39,113051,734618
2018,RI,Residential,442005,20.55,642041,3124168
2018,RI,Transportation,1,17.01,4586,26966
