Year,State,Sector,Customers,Price,Revenue,Sales
2019,MI,Industrial,5726,7.07,2114082,29886432
2019,MI,Residential,4384305,15.74,5273119,33495725
2019,MI,Transportation,2,10.56,671,6353
2019,MN,Commercial,299995,10.34,2369105,22904299
2019,MN,Industrial,8998,7.53,1636945,21748034
2019,MN,Residential,2446111,13.04,2906625,22288152
2019,MN,Transportation,1,9.49,2383,25109
2019,MO,Commercial,384787,9.07,2733866,30133114
2019,MO,Industrial,10096,7.11,924819,13009718
2019,MO,Residential,2811863,11.14,3975602,35691426
2019,MO,Transportation,2,7.89,1855,23517
2019,MS,Commercial,237625,10.52,1497763,14238982
2019,MS,Industrial,10379,5.85,936158,15994186
2019,MS,Residential,1293419,11.27,2108801,18717858
2019,MS,Transportation,0,0.0,0,0
2019,MT,Commercial,109459,10.41,515875,4956080
2019,MT,Industrial,11286,5.45,275675,5057088
2019,MT,Residential,516052,11.13,590943,5308103
2019,MT,Transportation,0,0.0,0,0
2019,NC,Commercial,705587,8.81,4330825,49173038
2019,NC,Industrial,9871,6.3,1726559,27391009
2019,NC,Residential,4620856,11.42,6834017,59852793
2019,NC,Transportation,1,8.2,1533,18691
2019,ND,Commercial,76355,9.01,633843,7035031
2019,ND,Industrial,8803,7.94,746677,9398793
2019,ND,Residential,385038,10.3,527970,5125431
2019,ND,Transportation,0,0.0,0,0
2019,NE,Commercial,153814,8.85,836870,9456725
2019,NE,Industrial,62204,7.65,812630,10618560
2019,NE,Residential,855619,10.77,1109655,10307905
2019,NE,Transportation,0,0.0,0,0
2019,NH,Commercial,108247,15.93,682119,4280854
2019,NH,Industrial,3193,13.09,251844,1923973
2019,NH,Residential,627257,20.05,903574,4506830
2019,NH,Transportation,0,0.0,0,0
2019,NJ,Commercial,523796,12.23,4650585,38012684
2019,NJ,Industrial,11781,10.16,710108,6990063
2019,NJ,Residential,3596834,15.85,4534973,28612555
2019,NJ,Transportation,7,8.8,26513,301402
2019,NM,Commercial,144960,9.79,884212,9028861
2019,NM,Industrial,9456,5.48,492124,8979712
2019,NM,Residential,895086,12.51,859664,6871561
2019,NM,Transportation,0,0.0,0,0
2019,NV,Commercial,167628,8.04,938867,11681186
2019,NV,Industrial,3265,6.14,762826,12425536
2019,NV,Residential,1204996,12.0,1544743,12867637
2019,NV,Transportation,1,8.51,683,8027
2019,NY,Commercial,1121107,14.06,10556658,75090820
2019,NY,Industrial,7607,5.61,985033,17548457
2019,NY,Residential,7235400,17.94,8995439,50141003
2019,NY,Transportation,8,12.28,346400,2820065
2019,OH,Commercial,632794,9.72,4469895,46008937
2019,OH,Industrial,19798,6.55,3292193,50249178
2019,OH,Residential,4980931,12.38,6464453,52226097
2019,OH,Transportation,2,6.83,2574,37708
2019,OK,Commercial,285641,7.98,1603441,20085991
2019,OK,Industrial,19905,5.07,1059116,20903983
2019,OK,Residential,1777156,10.21,2429743,23805972
2019,OK,Transportation,0,0.0,0,0
2019,OR,Commercial,240488,8.85,1453026,16422975
2019,OR,Industrial,25169,5.86,858920,14668288
2019,OR,Residential,1763783,11.01,2123882,19286182
2019,OR,Transportation,2,9.14,2461,26941
2019,PA,Commercial,716992,8.71,3498024,40142710
2019,PA,Industrial,13788,6.41,3230283,50422724
2019,PA,Residential,5418870,13.8,7508619,54396182
2019,PA,Transportation,6,7.26,44937,618767
2019,RI,Commercial,60672,16.38,597112,3644482
2019,RI,Industrial,1758,15.59,108412,695416
2019,RI,Residential,444216,21.73,648292,2983012
2019,RI,Transportation,1,18.49,4994,27005
2019,SC,Commercial,385285,10.58,2344564,22168328
2019,SC,Industrial,3703,6.11,1643068,26877335
2019,SC,Residential,2330903,12.99,4048095,31159957
2019,SC,Transportation,0,0.0,0,0
2019,SD,Commercial,73549,9.59,468846,4888034
2019,SD,Industrial,4089,7.81,228300,2923865
2019,SD,Residential,403717,11.55,584266,5057032
2019,SD,Transportation,0,0.0,0,0
2019,TN,Commercial,497497,10.65,3850725,36151394
2019,TN,Industrial,1016,5.68,1198249,21104523
2019,TN,Residential,2914916,10.87,4628861,42573183
2019,TN,Transportation,0,0.0,0,0
2019,TX,Commercial,1537111,8.06,11440049,142001524
2019,TX,Industrial,232427,5.45,7171361,131673922
2019,TX,Residential,11366639,11.76,18286991,155481342
2019,TX,Transportation,3,6.44,12022,186616
2019,US,Commercial,18694240,10.68,145279763,1360876555
2019,US,Industrial,954222,6.81,68284892,1002352849
2019,US,Residential,135249616,13.01,187436037,1440288909
2019,US,Transportation,83,9.66,737452,7632150
2019,UT,Commercial,132082,8.26,979491,11860449
2019,UT,Industrial,10343,5.98,567343,9490843
2019,UT,Residential,1116145,10.4,1013001,9739525
2019,UT,Transportation,1,10.62,5498,51748
2019,VA,Commercial,434175,8.18,4417182,53981176
2019,VA,Industrial,3723,6.85,1206041,17598247
2019,VA,Residential,3464677,12.07,5632066,46666163
2019,VA,Transportation,1,8.27,15690,189794
2019,VT,Commercial,58320,15.98,309173,1934464
2019,VT,Industrial,242,11.05,155930,1411655
2019,VT,Residential,316180,17.71,368721,2081545
2019,VT,Transportation,0,0.0,0,0
2019,WA,Commercial,389147,8.75,2561371,29269638
2019,WA,Industrial,26829,4.8,1209353,25171873
2019,WA,Residential,3126192,9.71,3544716,36512424
2019,WA,Transportation,5,9.45,9341,98861
2019,WI,Commercial,356561,10.72,2525071,23546114
2019,WI,Industrial,5522,7.31,1727052,23614832
2019,WI,Residential,2720287,14.18,3117985,21995360
2019,WI,Transportation,2,13.85,171,1234
2019,WV,Commercial,145225,9.16,693448,7567130
2019,WV,Industrial,11562,6.02,875173,14526664
2019,WV,Residential,857666,11.25,1254560,11153219
2019,WV,Transportation,0,0.0,0,0
2019,WY,Commercial,58325,9.64,344712,3575477
2019,WY,Industrial,11294,6.73,695295,10338641
2019,WY,Residential,274881,11.18,318423,2849378
2019,WY,Transportation,0,0.0,0,0
2020,AK,Commercial,61993,19.58,494103,2524116
2020,AK,Industrial,1129,15.88,207206,1304415
2020,AK,Residential,315208,22.57,471526,2089046
2020,AK,Transportation,0,0.0,0,0
2020,AL,Commercial,371888,11.55,2460395,21307775
2020,AL,Industrial,7240,5.87,1806524,30756789
2020,AL,Residential,2280741,12.58,3939867,31331041
2020,AL,Transportation,0,0.0,0,0
2020,AR,Commercial,197869,8.61,956720,11110416
2020,AR,Industrial,35978,5.89,987435,16760182
2020,AR,Residential,1413490,10.41,1871422,17980206
2020,AR,Transportation,2,13.32,27,199
2020,AZ,Commercial,331229,10.11,2944348,29128178
2020,AZ,Industrial,7595,6.07,856644,14113139
2020,AZ,Residential,2896339,12.27,4751047,38707416
2020,AZ,Transportation,2,9.38,1064,11341
2020,CA,Commercial,1725533,17.53,18757401,107006347
2020,CA,Industrial,148130,14.27,6797215,47630882
2020,CA,Residential,13834719,20.45,19413314,94934563
2020,CA,Transportation,13,10.07,60682,602880
2020,CO,Commercial,384518,10.29,2062508,20042218
2020,CO,Industrial,15209,7.48,1154897,15431465
2020,CO,Residential,2400357,12.36,2531337,20482502
2020,CO,Transportation,1,8.64,8126,94079
2020,CT,Commercial,154894,16.58,1848336,11145896
2020,CT,Industrial,4130,13.07,373836,2860291
2020,CT,Residential,1521112,22.71,2948780,12981839
2020,CT,Transportation,3,13.34,16768,125647
2020,DC,Commercial,26672,11.85,807759,6814560
2020,DC,Industrial,1,7.99,14881,186344
2020,DC,Residential,290466,12.63,309841,2452589
2020,DC,Transportation,3,9.6,31906,332282
2020,DE,Commercial,56764,9.18,374876,4082497
2020,DE,Industrial,878,6.7,137784,2055420
2020,DE,Residential,446276,12.56,627031,4991134
2020,DE,Transportation,0,0.0,0,0
2020,FL,Commercial,1256569,8.85,8181315,92493736
2020,FL,Industrial,22587,7.15,1185729,16572954
2020,FL,Residential,9731237,11.27,15021436,133298869
2020,FL,Transportation,2,7.69,5739,74612
2020,GA,Commercial,592220,10.08,4466257,44301529
2020,GA,Industrial,23822,5.77,1777389,30807724
2020,GA,Residential,4487431,12.02,6995859,58220280
2020,GA,Transportation,1,5.39,7584,140609
2020,HI,Commercial,59734,28.41,762527,2684301
2020,HI,Industrial,816,24.45,797940,3263346
2020,HI,Residential,442002,30.28,862771,2849114
2020,HI,Transportation,0,0.0,0,0
2020,IA,Commercial,243762,9.96,1155688,11605738
2020,IA,Industrial,9507,6.43,1572418,24466641
2020,IA,Residential,1403386,12.46,1815028,14567483
2020,IA,Transportation,0,0.0,0,0
2020,ID,Commercial,114707,7.75,488956,6309927
2020,ID,Industrial,28759,6.23,571938,9180674
2020,ID,Residential,782559,9.95,892473,8970751
2020,ID,Transportation,0,0.0,0,0
2020,IL,Commercial,628868,9.15,4160567,45486577
2020,IL,Industrial,5561,6.7,2703056,40362204
2020,IL,Residential,5339610,13.04,6021966,46170538
2020,IL,Transportation,3,6.56,29507,449958
2020,IN,Commercial,363465,11.21,2465067,21996478
2020,IN,Industrial,19383,6.98,2949718,42262910
2020,IN,Residential,2920266,12.83,4217038,32878355
2020,IN,Transportation,1,10.21,1839,18001
2020,KS,Commercial,236430,10.4,1544299,14843319
2020,KS,Industrial,23979,7.3,806298,11048183
2020,KS,Residential,1282532,12.85,1747076,13592444
2020,KS,Transportation,0,0.0,0,0
2020,KY,Commercial,312014,10.34,1867406,18061357
2020,KY,Industrial,5982,5.31,1477126,27803946
2020,KY,Residential,2013910,10.87,2818425,25935096
2020,KY,Transportation,0,0.0,0,0
2020,LA,Commercial,296222,8.85,1982599,22398708
2020,LA,Industrial,19276,4.88,1770445,36276417
2020,LA,Residential,2112928,9.67,2942989,30440746
2020,LA,Transportation,1,8.77,948,10814
2020,MA,Commercial,411448,16.03,3706930,23120500
2020,MA,Industrial,10877,14.51,902346,6220376
2020,MA,Residential,2817549,21.97,4468961,20345178
2020,MA,Transportation,2,6.24,20159,323287
2020,MD,Commercial,256738,9.72,2572151,26451864
2020,MD,Industrial,8966,7.81,264111,3381895
2020,MD,Residential,2376983,13.01,3551281,27306375
2020,MD,Transportation,5,7.79,38082,488906
2020,ME,Commercial,97575,12.56,479414,3815653
2020,ME,Industrial,2681,8.86,232770,2625824
2020,ME,Residential,717559,16.81,824665,4905263
2020,ME,Transportation,0,0.0,0,0
2020,MI,Commercial,546115,11.71,4156478,35490797
2020,MI,Industrial,5580,7.24,1858134,25654081
2020,MI,Residential,4423595,16.26,5831461,35862912
2020,MI,Transportation,2,11.39,469,4116
2020,MN,Commercial,303702,10.43,2244659,21526677
2020,MN,Industrial,9042,7.67,1501592,19571847
2020,MN,Residential,2464753,13.17,3020236,22935672
2020,MN,Transportation,1,9.4,1919,20410
2020,MO,Commercial,387872,8.93,2495141,27931047
2020,MO,Industrial,10108,6.84,877402,12823832
2020,MO,Residential,2833918,11.22,3922562,34950370
2020,MO,Transportation,2,7.84,1603,20463
2020,MS,Commercial,237370,10.38,1368949,13185143
2020,MS,Industrial,10343,5.63,862202,15302064
2020,MS,Residential,1308149,11.17,2010535,17994833
2020,MS,Transportation,0,0.0,0,0
2020,MT,Commercial,110977,10.51,494421,4702353
2020,MT,Industrial,11414,5.18,232985,4501861
2020,MT,Residential,522382,11.24,604844,5379965
2020,MT,Transportation,0,0.0,0,0
2020,NC,Commercial,710220,8.69,3989150,45905051
2020,NC,Industrial,9822,6.31,1630155,25828233
2020,NC,Residential,4695096,11.38,6672919,58641572
2020,NC,Transportation,1,7.67,1236,16124
2020,ND,Commercial,76834,9.02,598966,6641700
2020,ND,Industrial,8933,7.26,735791,10131201
2020,ND,Residential,387506,10.44,526673,5046551
2020,ND,Transportation,0,0.0,0,0
2020,NE,Commercial,155282,8.89,807988,9090239
2020,NE,Industrial,62716,7.38,853740,11566353
2020,NE,Residential,864842,10.8,1135271,10514944
2020,NE,Transportation,0,0.0,0,0
2020,NH,Commercial,109068,15.41,621042,4029709
2020,NH,Industrial,3180,13.11,245652,1873446
2020,NH,Residential,633234,19.04,911967,4790374
2020,NH,Transportation,0,0.0,0,0
2020,NJ,Commercial,526725,12.35,4360716,35315617
2020,NJ,Industrial,11629,10.01,674041,6735377
2020,NJ,Residential,3618587,16.03,4756754,29676857
2020,NJ,Transportation,6,9.19,24836,270370
2020,NM,Commercial,145459,10.28,863824,8406884
2020,NM,Industrial,9436,5.58,507044,9088192
2020,NM,Residential,905885,12.94,942023,7282079
2020,NM,Transportation,0,0.0,0,0
2020,NV,Commercial,169743,7.45,892503,11983740
2020,NV,Industrial,3316,5.61,669293,11924592
2020,NV,Residential,1226566,11.34,1624395,14321607
2020,NV,Transportation,1,8.84,350,3960
2020,NY,Commercial,1143347,14.56,10044876,68988817
2020,NY,Industrial,7535,5.54,920958,16610457
2020,NY,Residential,7239162,18.36,9596805,52257144
2020,NY,Transportation,8,12.14,309509,2550214
2020,OH,Commercial,636519,9.53,4116142,43204165
2020,OH,Industrial,19746,6.16,2884078,46823365
2020,OH,Residential,5014959,12.29,6457167,52552770
2020,OH,Transportation,3,6.71,2342,34899
2020,OK,Commercial,290192,7.82,1463053,18698988
2020,OK,Industrial,20468,4.61,938950,20367844
2020,OK,Residential,1795629,10.12,2350122,23232473
2020,OK,Transportation,0,0.0,0,0
2020,OR,Commercial,239645,9.0,1417933,15748914
2020,OR,Industrial,26353,5.7,889561,15616782
2020,OR,Residential,1785131,11.17,2191867,19628011
2020,OR,Transportation,2,9.46,2423,25606
2020,PA,Commercial,720919,8.5,3006398,35381006
2020,PA,Industrial,15462,6.16,2994347,48607303
2020,PA,Residential,5448109,13.58,7511991,55307093
2020,PA,Transportation,5,8.58,36505,425435
2020,RI,Commercial,60057,15.94,566168,3551262
2020,RI,Industrial,1692,15.76,100013,634692
2020,RI,Residential,441573,22.01,692840,3148021
2020,RI,Transportation,1,22.23,3905,17566
2020,SC,Commercial,395288,10.35,2156567,20834372
2020,SC,Industrial,3714,5.98,1499264,25076787
2020,SC,Residential,2377020,12.78,3940889,30826017
2020,SC,Transportation,0,0.0,0,0
2020,SD,Commercial,74236,9.65,453276,4696475
2020,SD,Industrial,4109,7.79,228209,2929346
2020,SD,Residential,407532,11.75,595509,5070024
2020,SD,Transportation,0,0.0,0,0
2020,TN,Commercial,501589,10.56,3535442,33480189
2020,TN,Industrial,1015,5.33,1089955,20438788
2020,TN,Residential,2930482,10.76,4420255,41084911
2020,TN,Transportation,0,0.0,0,0
2020,TX,Commercial,1539553,7.6,11030926,145167577
2020,TX,Industrial,264126,5.07,6341506,125107209
2020,TX,Residential,11515333,11.71,18322011,156414819
2020,TX,Transportation,3,6.52,11314,173662
2020,US,Commercial,18848813,10.59,136372272,1287439583
2020,US,Industrial,992311,6.67,63955556,959082028
2020,US,Residential,136682001,13.15,192663208,1464605046
2020,US,Transportation,83,9.9,648385,6547824
2020,UT,Commercial,135113,8.27,942516,11395032
2020,UT,Industrial,11001,5.9,570991,9672119
2020,UT,Residential,1143136,10.44,1100682,10546793
2020,UT,Transportation,1,10.69,5263,49213
2020,VA,Commercial,437477,7.63,4085686,53526846
2020,VA,Industrial,3693,6.28,1096748,17474236
2020,VA,Residential,3506844,12.03,5542948,46088846
2020,VA,Transportation,1,8.77,14431,164460
2020,VT,Commercial,59554,16.39,295914,1805738
2020,VT,Industrial,252,11.2,153298,1368719
2020,VT,Residential,316948,19.54,421376,2157001
2020,VT,Transportation,0,0.0,0,0
2020,WA,Commercial,389802,8.92,2436452,27307412
2020,WA,Industrial,26741,5.08,1140241,22442186
2020,WA,Residential,3168238,9.87,3639303,36858798
2020,WA,Transportation,5,9.93,9708,97748
2020,WI,Commercial,360316,10.75,2412932,22436275
2020,WI,Industrial,5621,7.29,1615656,22164389
2020,WI,Residential,2742424,14.32,3271758,22846734
2020,WI,Transportation,2,14.64,141,963
2020,WV,Commercial,146769,9.4,654036,6955844
2020,WV,Industrial,11444,6.09,867943,14243240
2020,WV,Residential,862279,11.8,1283976,10877499
2020,WV,Transportation,0,0.0,0,0
2020,WY,Commercial,57958,9.65,320504,3320024
2020,WY,Industrial,11334,6.88,628104,9131466
2020,WY,Residential,276029,11.11,319940,2879528
2020,WY,Transportation,0,0.0,0,0
2021,AK,Commercial,56005,19.61,501658,2558649
2021,AK,Industrial,1135,16.85,223588,1326779
2021,AK,Residential,292451,22.55,469886,2083911
2021,AK,Transportation,0,0.0,0,0
2021,AL,Commercial,376180,11.84,2586968,21844283
2021,AL,Industrial,7233,6.33,2034105,32155730
2021,AL,Residential,2308226,12.96,4092368,31585153
2021,AL,Transportation,0,0.0,0,0
2021,AR,Commercial,201408,9.56,1101412,11516908
2021,AR,Industrial,36628,6.57,1196803,18228014
2021,AR,Residential,1436246,11.27,2131723,18918015
2021,AR,Transportation,2,13.56,28,205
2021,AZ,Commercial,335377,10.33,3098754,29990064
2021,AZ,Industrial,7548,6.79,956213,14089072
2021,AZ,Residential,2953823,12.54,4655903,37130339
2021,AZ,Transportation,2,9.33,981,10515
2021,CA,Commercial,1750923,19.18,20861069,108761594
2021,CA,Industrial,149389,14.82,7050423,47583329
2021,CA,Residential,13883994,22.82,20604392,90284143
2021,CA,Transportation,12,11.79,73215,620799
2021,CO,Commercial,388601,10.84,2232288,20584470
2021,CO,Industrial,15287,8.01,1205161,15053158
2021,CO,Residential,2443109,13.07,2696118,20625005
2021,CO,Transportation,1,9.44,8362,88576
2021,CT,Commercial,155791,16.46,1926205,11701168
2021,CT,Industrial,4049,9.63,269676,2799194
2021,CT,Residential,1530251,21.91,2868410,13092128
2021,CT,Transportation,3,12.5,18136,145116
2021,DC,Commercial,26783,13.0,915415,7043709
2021,DC,Industrial,1,7.87,18839,239501
2021,DC,Residential,298337,13.09,330851,2528049
2021,DC,Transportation,3,9.76,26547,272113
2021,DE,Commercial,58353,9.48,397960,4196263
2021,DE,Industrial,864,7.6,160527,2113012
2021,DE,Residential,453758,12.52,647126,5170380
2021,DE,Transportation,0,0.0,0,0
2021,FL,Commercial,1272939,9.51,8931651,93965070
2021,FL,Industrial,23036,7.65,1308516,17112564
2021,FL,Residential,9917113,11.9,15518174,130412464
2021,FL,Transportation,2,8.31,5985,71984
2021,GA,Commercial,599964,10.61,4858538,45777026
2021,GA,Industrial,24211,6.49,2125605,32758986
2021,GA,Residential,4560653,12.51,7339634,58684962
2021,GA,Transportation,1,6.61,9449,142978
2021,HI,Commercial,59935,30.88,859804,2784538
2021,HI,Industrial,817,27.12,902208,3326862
2021,HI,Residential,443535,33.49,946210,2825082
2021,HI,Transportation,0,0.0,0,0
2021,IA,Commercial,246568,10.17,1234385,12135097
2021,IA,Industrial,9479,6.63,1731614,26106417
2021,IA,Residential,1417424,12.73,1864645,14651755
2021,IA,Transportation,0,0.0,0,0
2021,ID,Commercial,117323,7.89,520870,6600296
2021,ID,Industrial,28974,6.39,599709,9384477
2021,ID,Residential,806421,10.16,944639,9300843
2021,ID,Transportation,0,0.0,0,0
2021,IL,Commercial,633019,9.65,4529428,46923210
2021,IL,Industrial,5456,7.3,3027919,41498024
2021,IL,Residential,5361717,13.18,6167780,46813068
2021,IL,Transportation,3,6.42,29178,454531
2021,IN,Commercial,364549,11.58,2653827,22920929
2021,IN,Industrial,19066,7.39,3199952,43329491
2021,IN,Residential,2948803,13.37,4476492,33471970
2021,IN,Transportation,1,10.05,1775,17656
2021,KS,Commercial,245045,10.52,1615098,15356451
2021,KS,Industrial,23965,7.38,838799,11365925
2021,KS,Residential,1289344,12.98,1787507,13769410
2021,KS,Transportation,0,0.0,0,0
2021,KY,Commercial,316806,10.75,2008535,18685936
2021,KY,Industrial,5424,5.95,1748373,29396679
2021,KY,Residential,2032575,11.5,3040792,26434371
2021,KY,Transportation,0,0.0,0,0
2021,LA,Commercial,297724,10.23,2297883,22459648
2021,LA,Industrial,19928,6.21,2357221,37941990
2021,LA,Residential,2126155,11.02,3351648,30408224
2021,LA,Transportation,1,10.77,1021,9484
2021,MA,Commercial,432903,16.99,4048413,23832465
2021,MA,Industrial,10907,15.18,963191,6345834
2021,MA,Residential,2840311,22.89,4647885,20305269
2021,MA,Transportation,2,6.51,20508,314820
2021,MD,Commercial,257947,10.26,2814081,27437050
2021,MD,Industrial,8991,8.46,294409,3480392
2021,MD,Residential,2395954,13.12,3669204,27964545
2021,MD,Transportation,5,7.58,31972,421987
2021,ME,Commercial,98304,12.9,509428,3948896
2021,ME,Industrial,2498,9.55,245671,2573512
2021,ME,Residential,722038,17.02,861576,5062266
2021,ME,Transportation,0,0.0,0,0
2021,MI,Commercial,550701,12.31,4537108,36860868
2021,MI,Industrial,5706,7.69,2082727,27081082
2021,MI,Residential,4458038,17.54,6289783,35868100
2021,MI,Transportation,2,12.3,398,3231
2021,MN,Commercial,306605,11.22,2478396,22093189
2021,MN,Industrial,9130,8.29,1759971,21227196
2021,MN,Residential,2496406,13.5,3138279,23246055
2021,MN,Transportation,1,10.38,2360,22728
2021,MO,Commercial,395150,9.17,2657624,28987412
2021,MO,Industrial,9985,7.11,929932,13086588
2021,MO,Residential,2861933,11.42,4071545,35668409
2021,MO,Transportation,2,8.23,1699,20632
2021,MS,Commercial,241509,10.81,1478569,13676163
2021,MS,Industrial,10795,5.95,938693,15769265
2021,MS,Residential,1321576,11.56,2145795,18569936
2021,MS,Transportation,0,0.0,0,0
2021,MT,Commercial,112777,10.54,517065,4906132
2021,MT,Industrial,11670,6.24,280444,4495983
2021,MT,Residential,531398,11.22,623923,5559446
2021,MT,Transportation,0,0.0,0,0
2021,NC,Commercial,731526,8.5,4053567,47714832
2021,NC,Industrial,9567,6.14,1660482,27049367
2021,NC,Residential,4774592,11.32,6897040,60914684
2021,NC,Transportation,1,7.85,1114,14194
2021,ND,Commercial,77174,9.17,624295,6808316
2021,ND,Industrial,8980,7.37,822740,11166390
2021,ND,Residential,391340,10.85,530311,4888401
2021,ND,Transportation,0,0.0,0,0
2021,NE,Commercial,157335,8.81,815530,9260421
2021,NE,Industrial,63253,7.26,914411,12588380
2021,NE,Residential,869656,10.75,1127997,10492369
2021,NE,Transportation,0,0.0,0,0
2021,NH,Commercial,110003,16.13,662376,4106692
2021,NH,Industrial,3180,13.81,266332,1928665
2021,NH,Residential,638267,19.85,959250,4831911
2021,NH,Transportation,0,0.0,0,0
2021,NJ,Commercial,529178,12.69,4585342,36137241
2021,NJ,Industrial,11503,10.7,705553,6593424
2021,NJ,Residential,3648914,16.35,4921080,30090371
2021,NJ,Transportation,6,9.24,23053,249430
2021,NM,Commercial,146312,10.8,935011,8655826
2021,NM,Industrial,9271,6.16,594168,9649559
2021,NM,Residential,914495,13.52,958086,7088358
2021,NM,Transportation,0,0.0,0,0
2021,NV,Commercial,171686,7.77,954732,12293815
2021,NV,Industrial,3303,6.02,743879,12359543
2021,NV,Residential,1249392,11.49,1651794,14373357
2021,NV,Transportation,1,7.72,411,5327
2021,NY,Commercial,1161852,16.07,11238347,69920488
2021,NY,Industrial,7313,6.34,1071636,16891152
2021,NY,Residential,7256212,19.48,10161755,52156882
2021,NY,Transportation,8,12.67,311083,2455256
2021,OH,Commercial,640013,9.75,4385397,44980452
2021,OH,Industrial,19556,6.55,3246519,49529406
2021,OH,Residential,5041904,12.77,6789217,53171193
2021,OH,Transportation,3,7.41,2728,36814
2021,OK,Commercial,296856,8.7,1739517,19999312
2021,OK,Industrial,20174,5.5,1143471,20779958
2021,OK,Residential,1818813,11.0,2612424,23745867
2021,OK,Transportation,0,0.0,0,0
2021,OR,Commercial,242237,9.11,1503117,16508755
2021,OR,Industrial,26447,5.97,1034702,17318508
2021,OR,Residential,1805684,11.37,2307363,20285346
2021,OR,Transportation,2,9.71,2193,22596
2021,PA,Commercial,725725,8.91,3295183,36988112
2021,PA,Industrial,15006,6.54,3268118,49999765
2021,PA,Residential,5477367,13.76,7697613,55945176
2021,PA,Transportation,5,6.84,27859,407101
2021,RI,Commercial,60091,15.51,558933,3604518
2021,RI,Industrial,1650,16.06,103366,643779
2021,RI,Residential,446320,22.3,698380,3131533
2021,RI,Transportation,1,19.75,3589,18174
2021,SC,Commercial,402005,10.67,2253779,21114323
2021,SC,Industrial,3652,6.07,1656154,27292017
2021,SC,Residential,2426703,12.86,4037454,31385796
2021,SC,Transportation,0,0.0,0,0
2021,SD,Commercial,74987,10.15,486369,4791689
2021,SD,Industrial,4151,8.02,257176,3205738
2021,SD,Residential,412657,12.22,616517,5043964
2021,SD,Transportation,0,0.0,0,0
2021,TN,Commercial,519798,10.87,3789845,34863397
2021,TN,Industrial,1016,5.51,1206803,21917298
2021,TN,Residential,3016642,11.07,4741606,42840442
2021,TN,Transportation,0,0.0,0,0
2021,TX,Commercial,1552641,8.72,12897917,147843231
2021,TX,Industrial,293034,6.12,8115251,132529561
2021,TX,Residential,11815251,12.11,18772300,155075136
2021,TX,Transportation,3,6.59,11865,179950
2021,US,Commercial,19102304,11.22,149008224,1328439498
2021,US,Industrial,1022212,7.18,71834926,1000613490
2021,US,Residential,138308772,13.66,200833874,1470486882
2021,US,Transportation,82,10.2,646228,6334383
2021,UT,Commercial,139168,8.13,992418,12206510
2021,UT,Industrial,10180,6.19,586304,9471737
2021,UT,Residential,1176949,10.43,1142206,10950415
2021,UT,Transportation,1,11.21,5490,48965
2021,VA,Commercial,442263,7.79,4575242,58723978
2021,VA,Industrial,3687,6.49,1279924,19712199
2021,VA,Residential,3551532,11.96,5579585,46634411
2021,VA,Transportation,1,8.49,14823,174608
2021,VT,Commercial,60403,16.59,309772,1867111
2021,VT,Industrial,248,11.38,155980,1371096
2021,VT,Residential,319444,19.26,418734,2174489
2021,VT,Transportation,0,0.0,0,0
2021,WA,Commercial,394023,9.14,2618513,28637381
2021,WA,Industrial,26243,5.81,1245305,21436480
2021,WA,Residential,3220813,10.11,3843746,38021233
2021,WA,Transportation,5,9.89,10248,103574
2021,WI,Commercial,361589,10.95,2547820,23266013
2021,WI,Industrial,5665,7.63,1777080,23295516
2021,WI,Residential,2761990,14.52,3320221,22864047
2021,WI,Transportation,2,15.12,157,1039
2021,WV,Commercial,148231,9.5,679560,7156304
2021,WV,Industrial,11343,6.07,884516,14570979
2021,WV,Residential,863647,12.15,1343207,11050705
2021,WV,Transportation,0,0.0,0,0
2021,WY,Commercial,58019,9.68,333214,3443297
2021,WY,Industrial,11618,6.83,644772,9443917
2021,WY,Residential,278599,11.17,323702,2897498
2021,WY,Transportation,0,0.0,0,0
2022,AK,Commercial,56372,20.06,516678,2575918
2022,AK,Industrial,1149,18.43,253566,1375690
2022,AK,Residential,294370,23.1,473751,2050472
2022,AK,Transportation,0,0.0,0,0
2022,AL,Commercial,380269,13.16,2946401,22391068
2022,AL,Industrial,7223,7.72,2447353,31712904
2022,AL,Residential,2329559,14.25,4690788,32923573
2022,AL,Transportation,0,0.0,0,0
2022,AR,Commercial,203432,10.26,1208974,11786525
2022,AR,Industrial,35670,7.38,1325498,17960258
2022,AR,Residential,1445528,12.05,2320527,19250661
2022,AR,Transportation,2,15.48,34,219
2022,AZ,Commercial,340035,10.8,3403649,31507070
2022,AZ,Industrial,7808,7.86,1125540,14311610
2022,AZ,Residential,3013393,13.02,4994758,38367633
2022,AZ,Transportation,2,9.62,982,10204
2022,CA,Commercial,1767719,21.81,24896338,114141384
2022,CA,Industrial,147928,17.09,8116628,47500423
2022,CA,Residential,13942174,25.84,23136718,89542208
2022,CA,Transportation,12,13.76,94244,685121
2022,CO,Commercial,390861,11.58,2439656,21059419
2022,CO,Industrial,15078,8.63,1296207,15018320
2022,CO,Residential,2480555,14.19,2922469,20593942
2022,CO,Transportation,1,9.91,9057,91360
2022,CT,Commercial,155784,18.54,2155969,11625823
2022,CT,Industrial,3976,15.07,418994,2780106
2022,CT,Residential,1536217,24.61,3246418,13190687
2022,CT,Transportation,3,18.07,30814,170530
2022,DC,Commercial,27136,15.6,1137041,7290077
2022,DC,Industrial,1,7.74,14061,181716
2022,DC,Residential,306464,14.18,357265,2519079
