Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
2014,AR,Total Electric Power Industry,Hydroelectric,49.0,19.0,1320.9,1323.6
2014,AR,Total Electric Power Industry,Natural Gas,61.0,19.0,7286.3,6137.3
2014,AR,Total Electric Power Industry,Nuclear,2.0,1.0,1845.0,1819.6
2014,AR,Total Electric Power Industry,Other Biomass,13.0,4.0,28.1,14.1
2014,AR,Total Electric Power Industry,Petroleum,9.0,3.0,12.3,12.2
2014,AR,Total Electric Power Industry,Pumped Storage,1.0,1.0,28.0,28.0
2014,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,12.0,5.0,350.1,294.3
2014,AZ,"Combined Heat and Power, Electric Power",All Sources,2.0,1.0,62.6,52.2
2014,AZ,"Combined Heat and Power, Electric Power",Natural Gas,2.0,1.0,62.6,52.2
2014,AZ,Commercial Power,All Sources,8.0,7.0,37.0,30.6
2014,AZ,Commercial Power,Natural Gas,4.0,4.0,26.3,25.1
2014,AZ,Commercial Power,Petroleum,1.0,1.0,1.5,1.5
2014,AZ,Commercial Power,Solar Thermal and Photovoltaic,3.0,3.0,9.2,4.0
2014,AZ,"Electric Generators, Electric Utilities",All Sources,186.0,50.0,23515.0,21311.2
2014,AZ,"Electric Generators, Electric Utilities",Coal,16.0,6.0,6707.0,6170.0
2014,AZ,"Electric Generators, Electric Utilities",Hydroelectric,34.0,10.0,2718.0,2720.9
2014,AZ,"Electric Generators, Electric Utilities",Natural Gas,95.0,19.0,9357.3,7976.8
2014,AZ,"Electric Generators, Electric Utilities",Nuclear,3.0,1.0,4209.6,3937.0
2014,AZ,"Electric Generators, Electric Utilities",Other Biomass,5.0,1.0,5.0,4.0
2014,AZ,"Electric Generators, Electric Utilities",Petroleum,5.0,3.0,126.8,89.0
2014,AZ,"Electric Generators, Electric Utilities",Pumped Storage,6.0,3.0,194.1,216.3
2014,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,22.0,16.0,197.2,197.2
2014,AZ,"Electric Generators, Independent Power Producers",All Sources,107.0,51.0,8144.8,6854.9
2014,AZ,"Electric Generators, Independent Power Producers",Natural Gas,39.0,8.0,6675.1,5379.8
2014,AZ,"Electric Generators, Independent Power Producers",Other Biomass,4.0,2.0,6.0,6.0
2014,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,58.0,36.0,1196.2,1207.1
2014,AZ,"Electric Generators, Independent Power Producers",Wind,4.0,4.0,237.3,237.3
2014,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,2.0,2.0,30.2,24.7
2014,AZ,Total Electric Power Industry,All Sources,303.0,109.0,31759.4,28248.9
2014,AZ,Total Electric Power Industry,Coal,16.0,6.0,6707.0,6170.0
2014,AZ,Total Electric Power Industry,Hydroelectric,34.0,10.0,2718.0,2720.9
2014,AZ,Total Electric Power Industry,Natural Gas,140.0,32.0,16121.3,13433.9
2014,AZ,Total Electric Power Industry,Nuclear,3.0,1.0,4209.6,3937.0
2014,AZ,Total Electric Power Industry,Other Biomass,9.0,3.0,11.0,10.0
2014,AZ,Total Electric Power Industry,Petroleum,6.0,4.0,128.3,90.5
2014,AZ,Total Electric Power Industry,Pumped Storage,6.0,3.0,194.1,216.3
2014,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,83.0,55.0,1402.6,1408.3
2014,AZ,Total Electric Power Industry,Wind,4.0,4.0,237.3,237.3
2014,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,2.0,2.0,30.2,24.7
2014,CA,"Combined Heat and Power, Electric Power",All Sources,102.0,58.0,4258.9,3845.8
2014,CA,"Combined Heat and Power, Electric Power",Coal,1.0,1.0,38.2,33.0
2014,CA,"Combined Heat and Power, Electric Power",Geothermal,6.0,2.0,50.4,41.4
2014,CA,"Combined Heat and Power, Electric Power",Natural Gas,75.0,43.0,3719.8,3370.7
2014,CA,"Combined Heat and Power, Electric Power",Other,5.0,4.0,246.8,233.8
2014,CA,"Combined Heat and Power, Electric Power",Other Biomass,11.0,7.0,51.2,43.0
2014,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,4.0,4.0,152.5,123.9
2014,CA,Commercial Power,All Sources,205.0,90.0,620.4,548.3
2014,CA,Commercial Power,Hydroelectric,7.0,3.0,10.1,9.4
2014,CA,Commercial Power,Natural Gas,78.0,39.0,322.4,292.7
2014,CA,Commercial Power,Other,2.0,2.0,16.5,5.6
2014,CA,Commercial Power,Other Biomass,68.0,23.0,204.8,175.4
2014,CA,Commercial Power,Petroleum,8.0,4.0,11.0,10.2
2014,CA,Commercial Power,Pumped Storage,3.0,1.0,5.4,5.4
2014,CA,Commercial Power,Solar Thermal and Photovoltaic,37.0,28.0,48.2,47.6
2014,CA,Commercial Power,Wind,2.0,2.0,2.0,2.0
2014,CA,"Electric Generators, Electric Utilities",All Sources,703.0,297.0,29368.2,28200.6
2014,CA,"Electric Generators, Electric Utilities",Geothermal,4.0,2.0,220.0,130.1
2014,CA,"Electric Generators, Electric Utilities",Hydroelectric,355.0,190.0,9477.3,9621.8
2014,CA,"Electric Generators, Electric Utilities",Natural Gas,181.0,61.0,12646.5,11454.7
2014,CA,"Electric Generators, Electric Utilities",Nuclear,2.0,1.0,2323.0,2240.0
2014,CA,"Electric Generators, Electric Utilities",Other,3.0,3.0,109.9,101.0
2014,CA,"Electric Generators, Electric Utilities",Other Biomass,6.0,3.0,126.1,101.1
2014,CA,"Electric Generators, Electric Utilities",Petroleum,42.0,5.0,152.7,120.6
2014,CA,"Electric Generators, Electric Utilities",Pumped Storage,32.0,8.0,3745.6,3863.9
2014,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,73.0,29.0,203.9,204.3
2014,CA,"Electric Generators, Electric Utilities",Wind,5.0,2.0,363.2,363.1
2014,CA,"Electric Generators, Independent Power Producers",All Sources,1013.0,596.0,42744.0,39549.2
2014,CA,"Electric Generators, Independent Power Producers",Geothermal,92.0,31.0,2670.5,1783.7
2014,CA,"Electric Generators, Independent Power Producers",Hydroelectric,77.0,58.0,555.1,543.9
2014,CA,"Electric Generators, Independent Power Producers",Natural Gas,231.0,90.0,27380.7,25331.1
2014,CA,"Electric Generators, Independent Power Producers",Other,1.0,1.0,2.0,2.0
2014,CA,"Electric Generators, Independent Power Producers",Other Biomass,119.0,44.0,295.7,270.8
2014,CA,"Electric Generators, Independent Power Producers",Petroleum,27.0,2.0,277.1,218.6
2014,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,321.0,243.0,5574.4,5500.2
2014,CA,"Electric Generators, Independent Power Producers",Wind,121.0,107.0,5465.0,5447.5
2014,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,24.0,20.0,523.5,451.4
2014,CA,Industrial Power,All Sources,175.0,86.0,2803.1,2502.3
2014,CA,Industrial Power,Coal,5.0,2.0,92.5,85.6
2014,CA,Industrial Power,Natural Gas,122.0,57.0,2084.8,1877.5
2014,CA,Industrial Power,Other,9.0,7.0,136.0,119.2
2014,CA,Industrial Power,Other Biomass,2.0,1.0,1.0,1.2
2014,CA,Industrial Power,Other Gases,14.0,8.0,258.0,211.7
2014,CA,Industrial Power,Petroleum,6.0,3.0,60.1,46.1
2014,CA,Industrial Power,Solar Thermal and Photovoltaic,2.0,2.0,2.7,2.4
2014,CA,Industrial Power,Wind,2.0,2.0,2.6,2.6
2014,CA,Industrial Power,Wood and Wood Derived Fuels,13.0,10.0,165.4,156.0
2014,CA,Total Electric Power Industry,All Sources,2198.0,1127.0,79794.6,74646.2
2014,CA,Total Electric Power Industry,Coal,6.0,3.0,130.7,118.6
2014,CA,Total Electric Power Industry,Geothermal,102.0,35.0,2940.9,1955.2
2014,CA,Total Electric Power Industry,Hydroelectric,439.0,251.0,10042.5,10175.1
2014,CA,Total Electric Power Industry,Natural Gas,687.0,290.0,46154.2,42326.7
2014,CA,Total Electric Power Industry,Nuclear,2.0,1.0,2323.0,2240.0
2014,CA,Total Electric Power Industry,Other,20.0,17.0,511.2,461.6
2014,CA,Total Electric Power Industry,Other Biomass,206.0,78.0,678.8,591.5
2014,CA,Total Electric Power Industry,Other Gases,14.0,8.0,258.0,211.7
2014,CA,Total Electric Power Industry,Petroleum,83.0,14.0,500.9,395.5
2014,CA,Total Electric Power Industry,Pumped Storage,35.0,9.0,3751.0,3869.3
2014,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,433.0,302.0,5829.2,5754.5
