Year,State,Sector,Price,Customers,Sales,Revenue,Use_per_Customer,Total_Summer_Capacity,IPP_Capacity,Utility_Capacity,Renewable_Capacity,IPP_Share,Renewable_Share,Fossil_Capacity,Fossil_Share
2014,DE,Commercial,10.5,52203,4197298,440657,80.40338677853764,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
2014,DE,Industrial,8.58,862,2496338,214197,2895.983758700696,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
2014,DE,Residential,13.29,407508,4644841,617400,11.398159054546168,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
2014,DE,Transportation,0.0,0,0,0,,12344.8,5219.4,204.0,63.2,0.8456030069340937,0.005119564512993326,5814.8,0.47103233750243023
2014,FL,Commercial,9.87,1180768,92925670,9169986,78.69934652700616,237760.0,10344.8,103550.6,1020.2,0.08701884253028264,0.004290881561238223,107561.6,0.4523956931359354
2014,FL,Industrial,7.9,18779,16522425,1306052,879.8351882421854,237760.0,10344.8,103550.6,1020.2,0.08701884253028264,0.004290881561238223,107561.6,0.4523956931359354
2014,FL,Residential,11.89,8891020,116535263,13854538,13.107074666348742,237760.0,10344.8,103550.6,1020.2,0.08701884253028264,0.004290881561238223,107561.6,0.4523956931359354
2014,FL,Transportation,9.25,2,94753,8760,47376.5,237760.0,10344.8,103550.6,1020.2,0.08701884253028264,0.004290881561238223,107561.6,0.4523956931359354
2014,GA,Commercial,10.36,552712,46608275,4827025,84.32651181808971,152998.8,16026.4,57746.2,1556.2,0.20949706795085976,0.010171321605136773,58838.2,0.38456641489998616
2014,GA,Industrial,6.64,20300,31849136,2115659,1568.9229556650246,152998.8,16026.4,57746.2,1556.2,0.20949706795085976,0.010171321605136773,58838.2,0.38456641489998616
2014,GA,Residential,11.65,4137057,57167387,6659464,13.818370643672543,152998.8,16026.4,57746.2,1556.2,0.20949706795085976,0.010171321605136773,58838.2,0.38456641489998616
2014,GA,Transportation,6.98,1,165134,11527,165134.0,152998.8,16026.4,57746.2,1556.2,0.20949706795085976,0.010171321605136773,58838.2,0.38456641489998616
2014,HI,Commercial,34.21,60679,3201898,1095476,52.76781093953427,10686.0,720.8,3464.6,561.6,0.13490548381059328,0.052554744525547446,4129.2,0.3864121280179674
2014,HI,Industrial,30.22,716,3689784,1114946,5153.329608938548,10686.0,720.8,3464.6,561.6,0.13490548381059328,0.052554744525547446,4129.2,0.3864121280179674
