Year,STATE,RESIDENTIAL - Revenues (Thousand Dollars),RESIDENTIAL - Sales (Megawatthours),RESIDENTIAL - Customers (Count),RESIDENTIAL - Price (Cents/kWh),COMMERCIAL - Revenues (Thousand Dollars),COMMERCIAL - Sales (Megawatthours),COMMERCIAL - Customers (Count),COMMERCIAL - Price (Cents/kWh),INDUSTRIAL - Revenues (Thousand Dollars),INDUSTRIAL - Sales (Megawatthours),INDUSTRIAL - Customers (Count),INDUSTRIAL - Price (Cents/kWh),TRANSPORTATION - Revenues (Thousand Dollars),TRANSPORTATION - Sales (Megawatthours),TRANSPORTATION - Customers (Count),TRANSPORTATION - Price (Cents/kWh),TOTAL - Revenues (Thousand Dollars),TOTAL - Sales (Megawatthours),TOTAL - Customers (Count),TOTAL - Price (Cents/kWh)
2011,US,166713948,1422801093,126143072,11.72,135926713,1328057439,17638062,10.24,67605690,991315564,727920,6.82,802743,7672084,92,10.46,371049095,3749846180,144509146,9.9
2010,AK,340340,2093217,271956,16.26,394632,2829738,47844,13.95,187290,1324083,1350,14.14,0,0,0,0.0,922262,6247038,321150,14.76
2010,AL,3790734,35529292,2138911,10.67,2339092,22983768,356296,10.18,1945053,32349585,6915,6.01,0,0,0,0.0,8074879,90862645,2502122,8.89
2010,AR,1702938,19230961,1322833,8.86,890628,12188205,178962,7.31,913220,16774699,32408,5.44,48,420,2,11.33,3506833,48194285,1534205,7.28
2010,AZ,3558161,32448138,2554213,10.97,2741684,28942918,300507,9.47,758910,11441974,7143,6.63,0,0,0,0.0,7058754,72833030,2861863,9.69
2010,CA,12873565,87256946,12947917,14.75,15863515,121151697,1814634,13.09,4831623,49301025,75160,9.8,67926,821224,13,8.27,33636629,258530892,14837724,13.01
2010,CO,1997858,18102386,2128507,11.04,1790037,19597222,350073,9.13,1047503,15171843,15060,6.9,4329,46335,1,9.34,4839726,52917786,2493641,9.15
2010,CT,2514466,13065275,1451808,19.25,2208560,13427698,153847,16.45,538690,3712952,4973,14.51,21423,185841,2,11.53,5283139,30391766,1610630,17.38
2010,DC,297450,2123312,227550,14.01,1236304,9209486,26449,13.42,17777,229597,1,7.74,34461,314600,1,10.95,1585992,11876995,254001,13.35
2010,DE,657103,4759973,396114,13.8,490773,4320020,49986,11.36,241673,2525939,1241,9.57,0,0,0,0.0,1389549,11605932,447341,11.97
2010,FL,13982240,122244650,8529204,11.44,8941651,91614093,1127138,9.76,1528594,17265268,18048,8.85,7344,85603,25,8.58,24459829,231209614,9674415,10.58
2010,GA,6198370,61554498,4054145,10.07,4338100,47897477,546011,9.06,1932099,31046909,15648,6.22,12891,172696,1,7.46,12481460,140671580,4615805,8.87
2010,HI,840072,2989499,414568,28.1,869792,3354523,60479,25.93,805925,3672487,686,21.94,0,0,0,0.0,2515789,10016509,475733,25.12
2010,IA,1516862,14554888,1327896,10.42,951526,12025276,217704,7.91,1011344,18865105,6555,5.36,0,0,0,0.0,3479732,45445269,1552155,7.66
2010,ID,649759,8136736,664717,7.99,389390,5864885,101268,6.64,452704,8796047,26047,5.15,0,0,0,0.0,1491853,22797668,792032,6.54
2010,IL,5599019,48582984,5070056,11.52,4565265,51437414,578768,8.88,3011060,44180125,5991,6.82,37630,560151,4,6.72,13212973,144760674,5654819,9.13
2010,IN,3350355,35058372,2742789,9.56,2040756,24364616,341727,8.38,2734471,46551671,18796,5.87,1816,19717,1,9.21,8127398,105994376,3103313,7.67
2010,KS,1437102,14334086,1213036,10.03,1272739,15435825,220091,8.25,664062,10650764,23304,6.23,0,0,0,0.0,3373903,40420675,1456431,8.35
2010,KY,2496770,29136518,1930666,8.57,1529639,19410547,297050,7.88,2273807,45022361,7268,5.05,0,0,0,0.0,6300216,93569426,2234984,6.73
2010,LA,2935169,32678931,1973174,8.98,2057616,24203161,274177,8.5,1646496,28186816,18128,5.84,1020,10784,23,9.46,6640301,85079692,2265502,7.8
2010,MA,3124528,21409005,2674717,14.59,2651047,18243198,379709,14.53,2346600,17116157,16162,13.71,22719,355062,2,6.4,8144895,57123422,3070590,14.26
2010,MD,4142935,28934074,2200368,14.32,3617033,30771317,244264,11.75,486917,5083115,8766,9.58,54099,546992,5,9.89,8300984,65335498,2453403,12.71
2010,ME,687037,4371835,699625,15.72,513227,4100906,88266,12.52,280544,3058827,2821,9.17,0,0,0,0.0,1480808,11531568,790712,12.84
